""	"1"	"10"	"100"	"101"	"102"	"103"	"104"	"105"	"106"	"107"	"108"	"109"	"11"	"110"	"111"	"112"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"2"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"3"	"30"	"4"	"5"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"6"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"7"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"8"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"9"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"
"ASV_1"	13516	23976	20980	19007	18219	21601	17652	22993	16673	19011	22781	17106	24490	12109	17211	4922	9873	29739	24609	16109	16040	18582	20169	20754	572	19229	23490	17887	21541	19242	19747	19048	19273	15443	24160	19682	21464	21029	27413	3170	13562	0	14443	24026	24515	19782	5958	15634	7007	15201	23935	4645	10774	15975	11784	21757	6040	23827	21631	21936	18961	23212	17244	18920	5676	1	20622	9138	21907	7339	14994	22621	3367	25813	16621	17669	15497	22018	19021	6503	18790	23748	22059	299	19952	3676	1305	25010	21004	22229
"ASV_2"	946	6815	5327	4347	4721	5367	4313	5760	4834	4405	3876	4516	6497	3022	4404	1659	5590	6119	7032	3077	4018	4360	6375	5049	8	5455	6844	4921	5966	5177	5340	4912	5080	4049	6841	2745	5846	6244	7422	497	3691	0	4207	8219	6344	6189	18	5407	2483	3578	5871	2113	2913	3445	2908	6711	2076	7511	5867	5977	3273	5594	4004	4659	1193	347	3794	748	5551	1714	3771	6031	12	2839	4479	5324	45	2847	5469	1154	6366	7524	4743	1403	7478	4	1318	4416	4397	6202
"ASV_3"	12963	6898	3545	3617	3484	3977	3518	4110	2711	3414	2891	2723	3207	2687	3754	1137	1590	5558	6331	3857	3383	4686	3274	3993	3	3608	5105	3473	4370	3315	4067	3700	4155	2729	4515	2944	4021	3685	7788	1257	2463	0	2567	4940	3738	2164	1304	913	1144	1990	2457	1826	2172	3359	1587	4188	1134	4691	3630	6728	3192	4289	2734	4241	0	650	5636	108	3463	1258	2400	4660	2645	1516	2745	3328	1	3037	3309	737	3791	3039	3676	2328	4856	34	819	1960	5257	4873
"ASV_4"	179	2442	2797	2287	1936	2062	2544	3201	2760	2672	2827	2556	3170	1587	1901	378	0	2404	870	4037	2426	640	3082	2737	114	2507	3569	2331	2724	1915	2120	1963	2348	1903	3102	3771	2854	1886	2136	0	1282	0	1496	3169	1778	1759	0	2168	798	660	3865	1204	836	1532	660	3031	867	2051	2308	158	1462	2964	1798	2066	231	0	3069	80	3598	999	1543	3669	0	1041	1944	3099	1	3120	1627	336	1428	1244	893	0	3326	1	0	2113	2264	4012
"ASV_5"	111	1329	1327	892	796	1112	971	1140	1069	1205	1584	846	937	588	851	1532	3104	1218	314	59	568	183	1086	996	3	851	1217	911	1062	1036	887	1127	1033	564	1525	770	1166	1011	1413	8	586	0	1046	538	771	1141	34	575	306	1937	601	6110	945	613	180	769	356	669	815	592	568	998	825	1219	16	0	1785	21	1340	819	1055	862	12	1284	795	514	60	1675	1350	13	274	630	1244	381	238	8	3	2253	932	1177
"ASV_6"	155	330	1020	828	929	1065	860	1241	790	884	1256	610	449	532	1066	559	19	1918	17	532	560	1378	288	915	228	833	1069	765	941	808	784	799	728	606	1139	841	1027	708	931	1	451	0	766	387	770	776	1	73	256	534	1895	430	183	2581	737	1214	489	1654	765	3337	858	1281	650	708	4	0	992	11	12	1531	656	39	5	715	874	872	272	602	1277	465	1018	117	666	0	299	4	2	1306	2482	1086
"ASV_7"	1	0	0	46	0	62	1	0	0	135	166	0	687	7	64	0	4623	37	210	0	175	0	0	0	0	96	307	0	73	386	33	0	0	0	43	0	71	0	1	0	1	0	128	1	645	0	0	0	161	0	5706	3012	0	147	105	1	8	1	451	277	4	0	0	167	3613	0	0	1	103	0	0	118	1373	197	0	100	0	114	0	0	104	628	0	0	0	0	485	1	0	1
"ASV_8"	2816	0	0	0	0	1	0	0	0	1	1	34	1	82	0	0	0	0	0	0	9	0	0	130	0	152	0	0	0	1	0	0	0	0	0	0	0	0	1	17341	0	0	1	0	0	0	0	0	0	0	0	0	87	0	0	0	189	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_9"	0	0	0	0	0	0	0	0	0	0	665	393	0	2828	689	1315	0	0	0	0	4	0	489	284	0	299	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	239	0	1438	142	0	1156	1561	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	137	0	1080	0	0	0	0	0	0	0	0	0	0	0	0	0
